Product_Id,Product Name,minprice,maxprice,Description,Categories,Image,Tags List
1,Haier 32 Inches 4K QLED Google TV H32S80EFX,48000,53000,"The Haier 32S80EFX is a 32-inch Smart QLED LED TV featuring 1080p Full HD resolution, 2GB RAM, and 8GB storage. It offers Dolby Atmos audio, Google TV, Bluetooth connectivity, and a sleek bezel-less design, ensuring stunning visuals and an immersive viewing experience.","Small Electronics,LEDs & Audio",Haier_32_Inches_4K_QLED_Google_TV_H32S80EFX.jpg,"Energy-efficient,Smart,Bluetooth"
2,Haier 40 Inch FHD Android LED TV 40K800FX,64999,74999,"The 40-inch Full HD Smart TV features Google TV, offering apps like Netflix and YouTube. Enjoy a bezel-less design, 1920×1080 resolution, 60Hz refresh rate, 4000:1 contrast ratio, Dolby Audio, and multiple connectivity options. Dimensions are 901.1mm x 512.3mm, weighing 8.2 kg for easy placement.","Small Electronics,LEDs & Audio",Haier_40_Inch_FHD_Android_LED_TV_40K800FX.jpg,"LED,Energy-efficient,Bluetooth"
3,Haier 40 Inches 4K FHD Google TV H40K800FXS,69899,78999,"The Haier H40K800FX is a Full HD Smart Google TV with a bezel-less design, 1920 x 1080 resolution, and Dolby Audio. It features 1.5 GB RAM, 8 GB storage, multiple connectivity options, and access to popular apps, available in various sizes at Lahore Centre.","Small Electronics,LEDs & Audio",Haier_40_Inches_4K_FHD_Google_TV_H40K800FXS.jpg,"Smart,Wi-Fi,Connectivity"
4,Haier 43 Inches 4K Google QLED TV 43S800UX,90000,95000,Buy Haier 43 Inches 4K Google QLED TV 43S800UX With Best Price At Al Fatah Electronics.,"Small Electronics,LEDs & Audio",Haier_43_Inches_4K_Google_QLED_TV_43S800UX.jpg,"Sound,Bluetooth,LED"
5,Haier 50 Inches 4K Google QLED TV 50S800UX,127500,130750,Buy Haier 50 Inches 4K Google QLED TV 50S800UX With Best Price At Al Fatah Electronics.,"Small Electronics,LEDs & Audio",Haier_50_Inches_4K_Google_QLED_TV_50S800UX.jpg,"Smart,Audio,Energy-efficient"
6,Dawlance 10 CFT Top Mount Refrigerator 9169WB Avante,56000,61000,Buy Dawlance 10 CFT Top Mount Refrigerator 9169WB Avante with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_10_CFT_Top_Mount_Refrigerator_9169WB_Avante.jpg,"Energy-efficient,Cooling,Frost-free"
7,Dawlance 10 CFT Top Mount Refrigerator 9169WB Chrome,54000,59000,Buy Dawlance 10 CFT Top Mount Refrigerator 9169WB Chrome with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_10_CFT_Top_Mount_Refrigerator_9169WB_Chrome.jpg,"Temperature control,Wi-Fi,Frost-free"
8,Dawlance 6 CFT Top Mount Refrigerator 9140LF Chrome Pro Silver,59000,64000,"The Dawlance 6 CFT Top Mount Refrigerator 9140LF E-Chrome, also known as the Chrome Pro Silver.","Electronics,Refrigerators",Dawlance_6_CFT_Top_Mount_Refrigerator_9140LF_Chrome_Pro_Silver.jpg,"Dual-zone,Energy-efficient,Cooling"
9,Dawlance 7 CFT Top Mount Refrigerator 9149LF E-Chrome,66000,71000,Buy Dawlance 7 CFT Top Mount Refrigerator 9149LF E-Chrome with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_7_CFT_Top_Mount_Refrigerator_9149LF_E-Chrome.jpg,"LED display,Wi-Fi,Frost-free"
10,Dawlance 7 CFT Top Mount Refrigerator 9149WB Avante Pearl,66000,71000,Buy Dawlance 7 CFT Top Mount Refrigerator 9149WB Avante Pearl with Super Quality At Al Fatah Electronics.,"Electronics,Refrigerators",Dawlance_7_CFT_Top_Mount_Refrigerator_9149WB_Avante_Pearl.jpg,"Temperature control,Energy-efficient,Cooling"
11,Hommtel Watch 4 Sports with Amoled Display,7699,8699,"Watch 4 Pro High Quality Smart Watch 1.62 Inch Amoled IPS Screen 480*480, Bluetooth 5.2 & 480mAh Battery Capacity With 3 Straps – Multi Color","Smart Watch,Mobile Accessories",Hommtel_Watch_4_Sports_with_Amoled_Display.jpg,"Smart,Bluetooth,Fitness"
12,Joyroom Classic Series Smart Watch FC-1 (Answer/Make Call),6499,7499,"The Joyroom-FC1 Classic Series Smart Watch features a 1.28” HD IPS screen, smart calling, IP68 water resistance, and a 7-day battery life. It offers health monitoring, 94 sports modes, and customizable dials, ensuring a seamless and professional user experience.","Smart Watch,Mobile Accessories",Joyroom_Classic_Series_Smart_Watch_FC-1_(Answer_Make_Call).jpg,"Health,Bluetooth,Fitness"
Joyroom Fit Life Series Smart Watch FT-3 Pro (Answer/Make Call),6499,7499,"The JOYROOM-FT3 Pro Fit-Life Series Smart Watch features a 1.83” screen, intelligent BT calling, 12-day battery life, IP68 waterproof rating, and 20 sports modes. It tracks health data, syncs notifications, and is compatible with Android 8.0+ and iOS 12.0+.","Smart Watch,Mobile Accessories",Joyroom_Fit_Life_Series_Smart_Watch_FT-3_Pro_(Answer_Make_Call).jpg,"Smart,Waterproof,Outdoor"
14,Joyroom Fit Life Series Smart Watch FT-5 Pro (Answer/Make Call),7799,7900,"This smartwatch features a 1.83″ HD TFT screen, single-chip dual-mode functionality, 80+ sports modes, IP68 water resistance, and real-time health monitoring. With BLE5.3+BT3.0, a 300mAh battery, and magnetic charging, it combines advanced technology with user-friendly design.","Smart Watch,Mobile Accessories",Joyroom_Fit_Life_Series_Smart_Watch_FT-5_Pro_(Answer_Make_Call).jpg,"Sports,Sync,Fitness"
15,Kieslect Kr Smart Watch With Calling & 1.32 inch Semi-Amoled Display,10499,11499,Bluetooth Calling Watch | AI Voice Assistant | Music Player | 70 Workout Modes,"Smart Watch,Mobile Accessories",Kieslect_Kr_Smart_Watch_With_Calling__1.32_inch_Semi-Amoled_Display.jpg,"Touchscreen,Connectivity,Sync"
16,Boss 50 Liters Fast Electric Geyser 50CL Supreme Steel,33999,34999,Buy Boss 50 Liters Fast Electric Geyser 50CL Supreme With Best Price At Al Fatah Electronics,"Electronics,Geysers",Boss_50_Liters_Fast_Electric_Geyser_50CL_Supreme_Steel.jpg,"Energy-efficient,Fast-heating,Safety"
17,Canon 10L Instant Gas Geyser 20D Dual Plus,29000,39000,"This 10Ltr/min water heater features a 1kg heat exchanger and operates with zero water pressure (0.01-0.8Mpa). It offers safety with flame-out, ignition failure, and overheating protection. With an 80% energy-saving design, battery auto-ignition, and a digital display, it’s compact (543310168mm) and lightweight at 5.50kg. Comes with a 1-year warranty.","Electronics,Geysers",Canon_10L_Instant_Gas_Geyser_20D_Dual_Plus.jpg,"Durable,1-Year-Warranty,Incoloy-element"
18,Canon 60L Fast Electric and Storage Geyser CA-6021,28999,38999,"The Canon 60L Fast Electric and Storage Geyser CA-6021 offers a 60L capacity with fast heating, energy efficiency, and adjustable temperature control. It features corrosion-resistant storage, safety features, and insulation. Wall-mountable with a sleek design, it’s ideal for multiple users and comes with a warranty.","Electronics,Geysers",Canon_60L_Fast_Electric_and_Storage_Geyser_CA-6021.jpg,"Galvanized-sheet,Overheating-safety,Long-lasting"
19,Canon Fast Electric Water Heater 25 liter 25LCF,28999,38999,"Fast Electric Water Heater 25 liter 25LCF with ABS Plastic Tank, Adjustable Thermostat and 220-240V/ 2000W. Buy canon Water Heater.","Electronics,Geysers",Canon_Fast_Electric_Water_Heater_25_liter_25LCF.jpg,"Adjustable-Thermostat,ELCB Double Protection,Safety-Valve,1-Year-Warranty"
20,Nasgas 15L Gas and Storage Geyser DG-15 Super DLX,34000,39000,"This water tank features dip-galvanized heavy gauge construction and IIL GI transmission pipe. It has a pre-painted, UV-resistant outer body and prime Kimmco insulation (density 12 kg/m³). Includes a QC-approved brass safety valve, grey iron cast thermal-efficient burner, and a 15-gallon capacity.","Electronics,Geysers",Nasgas_15L_Gas_and_Storage_Geyser_DG-15_Super_DLX.jpg,"Power-efficient,High-performance,Fast-electric"
21,Dawlance 8kg W/M DW-6100,23500,28500,"Buy Dawlance W/M DW-6100 for your household Laundry needs, Deep Water fall Technology at Alfatah Electronic Store in Lahore.","Electronics,Washing Machines",Dawlance_8kg_W_M_DW-6100.jpg,"Wide-impeller,Vibration-free,Low-noise"
22,Haier 12 Kg Semi-Automatic Washing Machine HWM 130-1217,26500,31500,"This washer features a 12 kg wash capacity and two wash programs: Standard and Strong. It is constructed with a virgin plastic outer cabinet and inner drum, ensuring durability. The motor is made from 99.99% copper, providing reliable performance and efficiency.","Electronics,Washing Machines",Haier_12_Kg_Semi-Automatic_Washing_Machine_HWM_130-1217.jpg,"Imported-motor,Efficient-operation,Durable-construction"
23,Rays 10kg Single Tub Washer RWM-100BL,24499,29499,"The Rays 10kg Single Tub Top Load Washing Machine RWM-100BL is a powerful and efficient laundry solution for large households. With a generous 10kg capacity, it handles heavy loads effortlessly while maintaining top performance. Its single-tub design combines washing and spinning, and its durable construction ensures reliability and long-term use.","Electronics,Washing Machines",Rays_10kg_Single_Tub_Washer_RWM-100BL.jpg,"Reliable-performance,Low-noise,Vibration-free"
24,Rays 12kg Single Tub Washer RWM-120SG,26499,31499,"The Rays 12kg Single Tub Top Load Washing Machine RWM-120SG is a high-capacity, efficient solution for heavy laundry needs. Designed for large households, its 12kg capacity easily handles bulky loads while maintaining superior cleaning performance. Combining durability, energy efficiency, and user-friendly features, this washing machine ensures reliability and convenience for everyday use.","Electronics,Washing Machines",Rays_12kg_Single_Tub_Washer_RWM-120SG.jpg,"Efficient-operation,Durable-construction,Imported-motor"
25,Rays 8kg Single Tub Dryer RSD-888BL,24999,29499,"The Rays 8kg Top Load Washer RSD-888BL combines efficiency and convenience for effortless laundry care. With an 8kg capacity, it’s ideal for medium-sized households. This top-loading washer offers advanced washing programs, durable construction, and energy efficiency, ensuring clean, fresh clothes with every cycle while saving time and resources.","Electronics,Washing Machines",Rays_8kg_Single_Tub_Dryer_RSD-888BL.jpg,"Wide-impeller,Reliable-performance,Efficient-operation"
26,"1 Hora 20000mAh Power Bank, 20W Fast Charging Portable Battery, Type C Input/Output, with 2 74Wh USB Ports, Compatible with iPhone, Samsung with Built-in Strong Light Flashlight",6500,7500,"The 20000mAh USB C Power Bank offers fast charging and Type C input/output compatibility, suitable for iPhones and Samsung devices .","Mobile Accessories,Power Bank","1_Hora_20000mAh_Power_Bank,_20W_Fast_Charging_Portable_Battery,_Type_C_Input_Output,_with_2_74Wh_USB_Ports,_Compatible_with_iPhone,_Samsung_with_Built-in_Strong_Light_Flashlight.jpg","Universal-Compatibility,Fast-Charging,USB-Type-C"
27,Aspor 10000mAh 22.5W PD+QC Fast Charging Power Bank With LED Display A-335,2199,2499,"The ASPOR A335 Power Bank features a 10000mAh capacity with 22.5W PD+QC 3.0 fast charging. It supports various devices, has multiple input/output interfaces (USB-C, Micro USB, DC), and includes protection features. The ultra-thin, portable design offers wireless charging, LED display, and solar charging support.","Mobile Accessories,Power Bank",Aspor_10000mAh_22.5W_PD+QC_Fast_Charging_Power_Bank_With_LED_Display_A-335.jpg,"Wireless,Wired,IOS"
28,Aspor 10000mAh 4 In 1 Built-in Power Bank A-300,2499,2799,"The ASPOR A300 Power Bank features a 10000mAh Li-Polymer battery, designed for universal mobile phones. With a 4-in-1 charging system, it offers a compact and durable design, equipped with a display but without LED lighting. Portable, reliable, and easy to carry for on-the-go charging.","Mobile Accessories,Power Bank",Aspor_10000mAh_4_In_1_Built-in_Power_Bank_A-300.jpg,"Android,Fast-Charging,USB-Type-C"
29,Aspor 10000mAh Dual USB Connectors Power Bank With LED Indicators A323,2199,2399,"The Aspor A323 Power Bank features a 10,000mAh capacity, two USB outputs (2A each), and supports Micro USB and Type C inputs. With two-way fast charging and an LED indicator, it’s designed for portability and durability, making it ideal for charging devices on the go.","Mobile Accessories,Power Bank",Aspor_10000mAh_Dual_USB_Connectors_Power_Bank_With_LED_Indicators_A323.jpg,"Portable,,Fast-Charging,Wireless"
30,Aspor 18.5W 5000mAh Magnetic Portable Mini Wireless Power Bank A381,3399,3599,"The Aspor A381 Mini Wireless Magnetic Power Bank features a 5,000mAh capacity with 15W wireless fast charging and simultaneous dual-device capability. With PD20W bidirectional charging, MagSafe compatibility, and a compact design, it’s perfect for on-the-go power and compliant with air travel standards.","Mobile Accessories,Power Bank",Aspor_18.5W_5000mAh_Magnetic_Portable_Mini_Wireless_Power_Bank_A381.jpg,"Universal-Compatibility,Wired,Portable"
31,Decora Home Inverter – UPS DHI-1600/D (1600W Double Battery),44999,45999,Buy DECORA HOME INVERTER – UPS DHI-1600/D with Super Quality At Al Fatah Electronics.,"Small Electronics,UPS",Decora_Home_Inverter_–_UPS_DHI-1600_D_(1600W_Double_Battery).jpg,"Double-Battery,Energy-Saving,Fast-Charging"
32,Decora Home Inverter – UPS DHI-800/S (800W Single Battery),31999,34999,Buy DECORA HOME INVERTER – UPS DHI-800/S with Super Quality At Al Fatah Electronics.,"Small Electronics,UPS",Decora_Home_Inverter_–_UPS_DHI-800_S_(800W_Single_Battery).jpg,"Single-Battery,Overheat-Prevention,Energy-Saving"
33,Decora Home Inverter – UPS DHI-S800/S (800W Solar Single Battery),35999,40999,Buy DECORA HOME INVERTER – UPS DHI-S800/S with Super Quality At Al Fatah Electronics.,"Small Electronics,UPS",Decora_Home_Inverter_–_UPS_DHI-S800_S_(800W_Solar_Single_Battery).jpg,"Solar-Inverter,Brand-Warranty,Fast-Charging"
34,Tron Duo 800W Solar UPS Inverter HTD-1211/2011 (Single Battery),30499,35999,Buy Tron Duo 800W Solar UPS Inverter HTD-1211/2011 (Single Battery) with Super Quality At Al Fatah Electronics,"Small Electronics,UPS",Tron_Duo_800W_Solar_UPS_Inverter_HTD-1211_2011_(Single_Battery).jpg,"Overheat-Prevention,Long-Life,Energy-Saving"
35,Tron Uno 800W UPS Inverter HTD-1205 (Single Battery),26499,31499,Buy Tron Uno 800W UPS Inverter HTD-1205 (Single Battery) with Super Quality At Al Fatah Electronics,"Small Electronics,UPS",Tron_Uno_800W_UPS_Inverter_HTD-1205_(Single_Battery).jpg,"Double-Battery,High-Efficiency,Brand-Warranty"
36,Joyroom 100W Type-C to C Fast Charging Data Cable S-CC100A12,1999,2999,"The Joyroom S-CC100A20 Braided USB-C Data & Charging Cable is a high-performance solution for fast charging and seamless data transfer. With a robust 100W output, 480Mbps transfer speed, and a durable braided design, this cable ensures reliability, efficiency, and longevity, making it ideal for everyday use with USB-C devices.","Data Cables,Mobile Accessories",Joyroom_100W_Type-C_to_C_Fast_Charging_Data_Cable_S-CC100A12.jpg,"Fast-charging,USB-A-to-Type-C,Durable"
37,Joyroom 20W Type-C To Lightning Cable 1.2m Transparent Nylon S-CL020A12,1199,2199,"The JOYROOM S-CL020A12 Type-C to Lightning 20W Data Cable supports 2.4A charging and 480Mbps data transfer. Made of PVC and nylon woven, it is 1.2 meters long and weighs 0.50 KGs. Suitable for Lightning devices, it comes in transparent nylon black.","Data Cables,Mobile Accessories",Joyroom_20W_Type-C_To_Lightning_Cable_1.2m_Transparent_Nylon_S-CL020A12.jpg,"Temperature-control,Aluminum-alloy,Brand-warranty"
38,Joyroom 3A Series 1m Fast Charging Data Cable ( USB-A To Lightning ) SA26-AL3,599,799,"This 1m cable features a built-in smart chip for automatic voltage and temperature regulation. It uses thicker copper wire for higher conductivity, supports 3A current and 480Mbps transmission speed. Made from durable, skin-friendly PVC, it’s designed for safety, stability, and everyday use.","Data Cables,Mobile Accessories",Joyroom_3A_Series_1m_Fast_Charging_Data_Cable_(_USB-A_To_Lightning_)_SA26-AL3.jpg,"Fast-charging,Android,Durable"
39,Joyroom 3A USB-A to Type-C Right Angle Fast Charging Data Cable  S-AC027A17,999,1499,"JOYROOM S-AC027A17 SmoothGame Series Right Angle Fast Charging Data Cable. USB-A to Type-C, supports 3A/2.4A charging, 480Mbps transmission speed. Made of aluminum alloy and braided nylon. Length: 1.2m, weight: 0.50 kg. Color: Black.","Data Cables,Mobile Accessories",Joyroom_3A_USB-A_to_Type-C_Right_Angle_Fast_Charging_Data_Cable__S-AC027A17.jpg," IOS,Aluminum-alloy,Brand-warranty"
40,Joyroom Smoothgame Series 2.4a USB A to Lightning Rightangle Fast Charging Data Cable S-AL012A17,700,1100,"The Joyroom S-AL012A17 SmoothGame Series is a 1.2m USB-A to Lightning cable designed for charging and data transmission. It supports up to 3A charging and 480Mbps data speed. Built with durable aluminum alloy and braided nylon, it features an ergonomic right-angle connector for enhanced comfort.","Data Cables,Mobile Accessories",Joyroom_Smoothgame_Series_2.4a_USB_A_to_Lightning_Rightangle_Fast_Charging_Data_Cable_S-AL012A17.jpg,"Temperature-control,Fast-charging,Durable"
41,Anex Toaster 2 Slice 3011,6500,7000,DESCRIPTION. 220-240V 50/60HZ 730-870W Wide mouth slot Electronic browning control Centre function High lift Bun warmer Defrost reheat cancel button Slide out crumb tray.,"Small Electronics,Toaster",Anex_Toaster_2_Slice_3011.jpg,"Electric-Toaster,2-slices,Stainless-Steel"
42,Black & Dacker B2 Electric Toaster T0800,10000,12000,"The BLACK+DECKER Electric Toaster Model TO800-B2 is a versatile 2-slice toaster designed for efficiency. It features extra-wide self-centering slots, 7 toast shade selections, a high-lift lever for safe retrieval, and functions for bagels and frozen bread. Made of stainless steel, it weighs 2.91 kg.","Small Electronics,Toaster",Black__Dacker_B2_Electric_Toaster_T0800.jpg,"Automatic-pop-up,Brand-Warranty,4-slices"
43,Black & Decker Electric Toaster TO800,12000,14000,Buy Black & Decker Electric Toaster TO800 With Best Price At Al Fatah Electronics,"Small Electronics,Toaster",Black__Decker_Electric_Toaster_TO800.jpg,"Small-and-portable,Energy-efficient,Durable"
44,Geepas 4-Slice Bread Toaster GBT-9895,9500,12500,Buy Geepas 4-Slice Bread Toaster GBT-9895 With Best Price At Al Fatah Electronics,"Small Electronics,Toaster",Geepas_4-Slice_Bread_Toaster_GBT-9895.jpg,"Fast-toasting,Compact,High-performance"
45,Westpoint 2 Slice Pop-Up Toaster WF-2533,9000,11000,Buy Westpoint 2 Slice Pop-Up Toaster WF-2533 with Super Quality At Al Fatah Electronics.,"Small Electronics,Toaster",Westpoint_2_Slice_Pop-Up_Toaster_WF-2533.jpg,"User-friendly,Easy-clean,Adjustable-settings"
46,3 in 1 Mini USB Rechargeable Vacuum Cleaner for Home and Office Use AS-228,2399,2799,"Wireless Handheld car and Household Powerful Three in one Vacuum Cleaner, Mini Portable Vacuum Cleaner, USB Cordless Handheld car Vacuum Cleaner, Rechargeable, Suitable for Cars, Homes, and Offices.","Small Electronics,Vacuum Cleaner",3_in_1_Mini_USB_Rechargeable_Vacuum_Cleaner_for_Home_and_Office_Use_AS-228.jpg,"Wireless-charging,Powerful-vacuum,Long-cord"
47,Anex Deluxe Vacuum Cleaner AG-2097,20199,30199,Buy Anex Deluxe Vacuum Cleaner AG-2097 with Super Quality At Al Fatah Electronics.,"Small Electronics,Vacuum Cleaner",Anex_Deluxe_Vacuum_Cleaner_AG-2097.jpg,"Extension-wand,Removable-filter,Powerful-vacuum"
48,Anex Vacuum Cleaner AG-2098,25750,30750,"Flexible hose. Extension metal tube. Blower function, Big dust bag capacity. Crevice nozzle, Round brush.","Small Electronics,Vacuum Cleaner",Anex_Vacuum_Cleaner_AG-2098.jpg,"Crevice-nozzle,Wireless-charging,Attachments"
49,Kenwood 20L Drum Vaccum Cleaner VDM40 2000W,32899,35899,"Powerful performance 2000 Watt motor provides fantastic power for more effective cleaning . Extra large capacity drum (huge 20 litre capacity drum design enables you to clean for longer with fewer pit stops.Removable and Washable filter for easy clean without any delay. This vaccum gives Telescopic Tube for fast suction of dust, 8 meter long cord.","Small Electronics,Vacuum Cleaner",Kenwood_20L_Drum_Vaccum_Cleaner_VDM40_2000W.jpg,"Powerful-vacuum,Long-cord,Master-nozzle"
50,Kenwood 20L Drum Vaccum Cleaner VDM60.000BR,34499,34944,"Equipped with a robust 2200 Watt motor, delivering exceptional power for highly effective cleaning.Features a massive 20-liter capacity, allowing for extended cleaning sessions with fewer interruptions for emptying.Designed to offer additional reach for cleaning larger areas without needing to switch power outlets frequently.Comes with a filter that can be easily removed and washed, ensuring long-term efficiency and convenience.","Small Electronics,Vacuum Cleaner",Kenwood_20L_Drum_Vaccum_Cleaner_VDM60.000BR.jpg,"Removable-filter,Crevice-nozzle,Wireless-charging"
